marketing_key,campaign_date,campaign_name,channel,impressions,clicks,spend,conversions,total_orders,total_sales_amount,conversion_rate,cost_per_order,revenue_generated
132,31-03-2023,Membership Drive,SMS,3306,321,1184.56,82,7,5988.58,0.26,169.22,7495.76
133,31-03-2023,New User Discount,SMS,3911,844,2361.64,74,7,5988.58,9.00E-02,337.38,3959.62
134,31-03-2023,Referral Program,App,9396,655,2128.82,83,7,5988.58,0.13,304.12,2492.54
135,31-03-2023,Weekend Special,Social Media,2642,607,2754.4,14,7,5988.58,0.02,393.49,5412.99
136,01-04-2023,App Push Notification,Social Media,5791,466,3477.78,38,6,9364.57,8.00E-02,579.63,6151.75
137,01-04-2023,Category Promotion,Email,1377,587,4314.61,79,6,9364.57,0.13,719.1,6890.15
138,01-04-2023,Email Campaign,Email,9101,381,4617.46,12,6,9364.57,3.00E-02,769.58,8721.38
139,01-04-2023,Festival Offer,Social Media,9798,706,3727.11,41,6,9364.57,6.00E-02,621.19,3669.94
140,01-04-2023,Flash Sale,SMS,3633,222,2162.37,91,6,9364.57,0.41,360.4,5409.96
141,01-04-2023,Membership Drive,Social Media,9581,336,4465.4,20,6,9364.57,6.00E-02,744.23,8748.32
142,01-04-2023,New User Discount,App,9872,738,4036.72,83,6,9364.57,0.11,672.79,7549.84
143,01-04-2023,Referral Program,Social Media,2166,546,3019.56,22,6,9364.57,4.00E-02,503.26,2248.48
144,01-04-2023,Weekend Special,App,3514,796,4117.71,25,6,9364.57,3.00E-02,686.29,7046.68
145,02-04-2023,App Push Notification,Email,9689,823,1464.18,12,9,9086.17,0.01,162.69,4749.32
146,02-04-2023,Category Promotion,App,5007,389,1379.33,76,9,9086.17,0.2,153.26,2906.82
147,02-04-2023,Email Campaign,App,7939,792,4165.22,42,9,9086.17,5.00E-02,462.8,2196.74
148,02-04-2023,Festival Offer,App,3368,381,2798.5,20,9,9086.17,5.00E-02,310.94,2926.03
149,02-04-2023,Flash Sale,SMS,3753,665,4954.56,62,9,9086.17,9.00E-02,550.51,6691.3
150,02-04-2023,Membership Drive,SMS,6647,231,1138.22,84,9,9086.17,0.36,126.47,4570.85
151,02-04-2023,New User Discount,App,5344,808,3865.49,81,9,9086.17,0.1,429.5,4650.29
152,02-04-2023,Referral Program,Social Media,3520,102,3314.57,78,9,9086.17,0.76,368.29,9933.94
153,02-04-2023,Weekend Special,App,8668,883,3581.02,65,9,9086.17,7.00E-02,397.89,7202.22
154,03-04-2023,App Push Notification,Social Media,3693,151,3418.02,77,6,5598.96,0.51,569.67,7337.66
155,03-04-2023,Category Promotion,Email,8045,263,2276.2,58,6,5598.96,0.22,379.37,4167.68
156,03-04-2023,Email Campaign,SMS,7069,267,4027.71,79,6,5598.96,0.3,671.29,5202.95
157,03-04-2023,Festival Offer,App,7960,214,1764.94,66,6,5598.96,0.31,294.16,3109.38
158,03-04-2023,Flash Sale,App,8803,629,1692.28,21,6,5598.96,3.00E-02,282.05,8811.75
159,03-04-2023,Membership Drive,SMS,4414,704,3751.18,17,6,5598.96,0.02,625.2,3299.71
160,03-04-2023,New User Discount,App,1814,370,4990.65,46,6,5598.96,0.12,831.78,4224.52
161,03-04-2023,Referral Program,App,6711,960,1727.22,12,6,5598.96,0.01,287.87,9750.26
162,03-04-2023,Weekend Special,Social Media,9810,153,3459.95,97,6,5598.96,0.63,576.66,3258.79
163,04-04-2023,App Push Notification,Email,5340,226,2312.99,93,7,7906.13,0.41,330.43,8791.84
164,04-04-2023,Category Promotion,Email,2550,684,2725.61,33,7,7906.13,5.00E-02,389.37,7262.73
165,04-04-2023,Email Campaign,Social Media,5452,579,1988.75,50,7,7906.13,9.00E-02,284.11,7141.62
166,04-04-2023,Festival Offer,SMS,2331,411,2996.79,50,7,7906.13,0.12,428.11,7260.03
167,04-04-2023,Flash Sale,Email,8729,599,3266.41,97,7,7906.13,0.16,466.63,4890.52
168,04-04-2023,Membership Drive,Email,1201,352,2753.95,53,7,7906.13,0.15,393.42,3038.88
169,04-04-2023,New User Discount,Social Media,3648,518,2039.34,59,7,7906.13,0.11,291.33,5897.25
170,04-04-2023,Referral Program,SMS,7036,465,3597.51,62,7,7906.13,0.13,513.93,6452.14
171,04-04-2023,Weekend Special,Social Media,2604,950,4661.81,48,7,7906.13,5.00E-02,665.97,4031.15
172,05-04-2023,App Push Notification,App,8629,397,1873.02,76,9,9998.23,0.19,208.11,7239.5
173,05-04-2023,Category Promotion,App,5089,475,3669.8,14,9,9998.23,3.00E-02,407.76,8122.74
174,05-04-2023,Email Campaign,Email,2187,460,4454.92,40,9,9998.23,9.00E-02,494.99,7995.66
175,05-04-2023,Festival Offer,Social Media,7272,706,2800.01,96,9,9998.23,0.14,311.11,9179.48
176,05-04-2023,Flash Sale,SMS,3655,280,4906.1,53,9,9998.23,0.19,545.12,7788.79
177,05-04-2023,Membership Drive,Social Media,6323,782,4336.85,20,9,9998.23,3.00E-02,481.87,3994.19
178,05-04-2023,New User Discount,Social Media,4187,927,4754.69,82,9,9998.23,9.00E-02,528.3,4866.84
179,05-04-2023,Referral Program,SMS,9999,712,1239.22,69,9,9998.23,0.1,137.69,9901.62
180,05-04-2023,Weekend Special,Email,5300,301,1913.78,77,9,9998.23,0.26,212.64,9351.66
181,06-04-2023,App Push Notification,App,5698,744,3873.04,99,12,13074.98,0.13,322.75,5814.04
182,06-04-2023,Category Promotion,App,5414,690,4849.92,58,12,13074.98,8.00E-02,404.16,6865.5
183,06-04-2023,Email Campaign,SMS,5064,881,2570.22,62,12,13074.98,7.00E-02,214.19,6222.32
184,06-04-2023,Festival Offer,Email,7024,872,2302.55,78,12,13074.98,9.00E-02,191.88,5192.68
185,06-04-2023,Flash Sale,Email,5728,847,2662.2,26,12,13074.98,3.00E-02,221.85,7112.61
186,06-04-2023,Membership Drive,Email,4990,746,3226.93,21,12,13074.98,3.00E-02,268.91,5352.11
187,06-04-2023,New User Discount,Email,2005,226,2727.19,46,12,13074.98,0.2,227.27,3898.02
188,06-04-2023,Referral Program,Social Media,1864,690,3695.71,52,12,13074.98,8.00E-02,307.98,9724.87
189,06-04-2023,Weekend Special,SMS,3852,442,1743.38,98,12,13074.98,0.22,145.28,9520.66
190,07-04-2023,App Push Notification,Social Media,2713,203,2378.54,31,10,6216.28,0.15,237.85,3510.08
191,07-04-2023,Category Promotion,Social Media,7164,906,2895.95,77,10,6216.28,8.00E-02,289.6,3459.66
192,07-04-2023,Email Campaign,App,5209,992,3532.78,56,10,6216.28,6.00E-02,353.28,8219.88
193,07-04-2023,Festival Offer,SMS,7906,800,2279.22,84,10,6216.28,0.1,227.92,5312.62
194,07-04-2023,Flash Sale,SMS,4640,275,2380.65,27,10,6216.28,0.1,238.07,7555.88
195,07-04-2023,Membership Drive,SMS,6787,776,4189.85,20,10,6216.28,3.00E-02,418.99,6658.06
196,07-04-2023,New User Discount,Social Media,6558,630,3233.39,74,10,6216.28,0.12,323.34,4216.39
197,07-04-2023,Referral Program,Social Media,9439,659,1836.98,79,10,6216.28,0.12,183.7,7774.9
198,07-04-2023,Weekend Special,SMS,5940,157,4353.75,61,10,6216.28,0.39,435.38,2476.51
199,08-04-2023,App Push Notification,Social Media,7293,430,3428.23,24,5,5696.34,6.00E-02,685.65,4994.9
200,08-04-2023,Category Promotion,SMS,6482,464,1297.2,85,5,5696.34,0.18,259.44,5269.53
201,08-04-2023,Email Campaign,App,4972,684,3356.86,66,5,5696.34,0.1,671.37,7895.98
202,08-04-2023,Festival Offer,App,6081,453,1913.55,21,5,5696.34,5.00E-02,382.71,4301.5
203,08-04-2023,Flash Sale,Social Media,9969,985,4713.06,66,5,5696.34,7.00E-02,942.61,5157.51
204,08-04-2023,Membership Drive,Email,1695,911,2981.81,99,5,5696.34,0.11,596.36,9680.96
205,08-04-2023,New User Discount,Social Media,5814,302,4207.31,24,5,5696.34,8.00E-02,841.46,8538.37
206,08-04-2023,Referral Program,SMS,5127,218,3980.61,18,5,5696.34,8.00E-02,796.12,7601.79
207,08-04-2023,Weekend Special,Email,6667,127,1401.4,87,5,5696.34,0.69,280.28,7050.13
208,09-04-2023,App Push Notification,App,4714,946,3149.49,98,11,17934.17,0.1,286.32,9236.8
209,09-04-2023,Category Promotion,Social Media,6882,653,2665.84,74,11,17934.17,0.11,242.35,6708.83
210,09-04-2023,Email Campaign,SMS,1889,195,1141.53,75,11,17934.17,0.38,103.78,9069.01
211,09-04-2023,Festival Offer,Social Media,4826,689,4126.58,21,11,17934.17,3.00E-02,375.14,5222.03
212,09-04-2023,Flash Sale,SMS,9325,732,3843.93,90,11,17934.17,0.12,349.45,9037.68
213,09-04-2023,Membership Drive,Email,1221,365,2263.96,82,11,17934.17,0.22,205.81,7378.56
214,09-04-2023,New User Discount,SMS,9653,452,3429.33,61,11,17934.17,0.13,311.76,8343.56
215,09-04-2023,Referral Program,App,6220,163,4938.44,55,11,17934.17,0.34,448.95,2118.01
216,09-04-2023,Weekend Special,Social Media,4705,578,3796.73,38,11,17934.17,7.00E-02,345.16,6764.18
217,10-04-2023,App Push Notification,Email,3789,575,2485.95,88,8,7153.83,0.15,310.74,5839.97
218,10-04-2023,Category Promotion,Email,3411,895,3497.26,89,8,7153.83,0.1,437.16,2786.06
219,10-04-2023,Email Campaign,Social Media,5490,485,3655.44,89,8,7153.83,0.18,456.93,5802.17
220,10-04-2023,Festival Offer,App,7596,500,4690.29,58,8,7153.83,0.12,586.29,3764.12
221,10-04-2023,Flash Sale,App,4037,401,2404.75,14,8,7153.83,3.00E-02,300.59,7676.71
222,10-04-2023,Membership Drive,SMS,9756,162,4006.37,89,8,7153.83,0.55,500.8,4930.31
223,10-04-2023,New User Discount,Social Media,9221,106,2141.32,70,8,7153.83,0.66,267.67,5650.53
224,10-04-2023,Referral Program,SMS,8100,801,1934.35,84,8,7153.83,0.1,241.79,5040.8
225,10-04-2023,Weekend Special,Email,5495,897,1860.21,63,8,7153.83,7.00E-02,232.53,8585.32
226,11-04-2023,App Push Notification,Email,2741,891,4097.76,81,11,17190.65,9.00E-02,372.52,4017.56
227,11-04-2023,Category Promotion,Email,3743,295,4638.37,68,11,17190.65,0.23,421.67,9110.79
228,11-04-2023,Email Campaign,SMS,6688,315,3255.99,16,11,17190.65,5.00E-02,296,7359.21
229,11-04-2023,Festival Offer,Social Media,9920,666,1246.61,15,11,17190.65,0.02,113.33,3534.43
230,11-04-2023,Flash Sale,SMS,9905,575,1377.87,43,11,17190.65,7.00E-02,125.26,7318.25
231,11-04-2023,Membership Drive,Social Media,6238,475,4647.28,69,11,17190.65,0.15,422.48,5720.01
232,11-04-2023,New User Discount,SMS,2887,535,3410.67,50,11,17190.65,9.00E-02,310.06,6461.03
233,11-04-2023,Referral Program,SMS,7785,285,2843.66,93,11,17190.65,0.33,258.51,4366.85
234,11-04-2023,Weekend Special,App,9499,131,1913.48,57,11,17190.65,0.44,173.95,6887.1
235,12-04-2023,App Push Notification,Social Media,6877,943,2374.55,52,6,6407.5,6.00E-02,395.76,6040.92
236,12-04-2023,Category Promotion,SMS,1715,733,1401.25,35,6,6407.5,5.00E-02,233.54,5272.33
237,12-04-2023,Email Campaign,App,4938,657,4955.58,81,6,6407.5,0.12,825.93,2649.51
238,12-04-2023,Festival Offer,SMS,4453,770,2491.75,56,6,6407.5,7.00E-02,415.29,7993.02
239,12-04-2023,Flash Sale,Social Media,3942,604,2875.7,72,6,6407.5,0.12,479.28,2616.97
240,12-04-2023,Membership Drive,Email,3564,633,1458.28,12,6,6407.5,0.02,243.05,6504.13
241,12-04-2023,New User Discount,Social Media,1905,564,3361.55,42,6,6407.5,7.00E-02,560.26,5003.01
242,12-04-2023,Referral Program,Email,8021,464,3246.1,16,6,6407.5,3.00E-02,541.02,2130.42
243,12-04-2023,Weekend Special,Social Media,9488,354,3685.71,39,6,6407.5,0.11,614.29,5152.89
244,13-04-2023,App Push Notification,App,7076,760,2419.99,41,9,10139.37,5.00E-02,268.89,4756.83
245,13-04-2023,Category Promotion,SMS,9282,647,3637.49,74,9,10139.37,0.11,404.17,8327.82
246,13-04-2023,Email Campaign,App,6308,481,4422.93,69,9,10139.37,0.14,491.44,2197.34
247,13-04-2023,Festival Offer,Email,3631,257,2967.62,11,9,10139.37,4.00E-02,329.74,4735.87
248,13-04-2023,Flash Sale,Email,3708,697,1784.11,10,9,10139.37,0.01,198.23,5207.17
249,13-04-2023,Membership Drive,App,4198,926,3265.42,88,9,10139.37,0.1,362.82,7039.53
250,13-04-2023,New User Discount,App,5833,156,2917.95,78,9,10139.37,0.5,324.22,5899.36
251,13-04-2023,Referral Program,SMS,1211,935,3091.76,99,9,10139.37,0.11,343.53,3766.76
252,13-04-2023,Weekend Special,Social Media,9712,305,1327.54,10,9,10139.37,3.00E-02,147.5,4883.8
253,14-04-2023,App Push Notification,Social Media,5120,513,3777.84,39,7,3791.95,8.00E-02,539.69,8997.78
254,14-04-2023,Category Promotion,SMS,4457,530,1835.35,55,7,3791.95,0.1,262.19,5808.48
255,14-04-2023,Email Campaign,App,2683,821,3545.74,62,7,3791.95,8.00E-02,506.53,9962.45
256,14-04-2023,Festival Offer,SMS,3195,914,4085.11,90,7,3791.95,0.1,583.59,4280.95
257,14-04-2023,Flash Sale,App,7511,272,4031.61,46,7,3791.95,0.17,575.94,5289.69
258,14-04-2023,Membership Drive,App,6440,437,4331.58,40,7,3791.95,9.00E-02,618.8,4130.48
259,14-04-2023,New User Discount,Email,5662,124,2275.81,88,7,3791.95,0.71,325.12,7033.22
260,14-04-2023,Referral Program,App,2520,197,2689.71,83,7,3791.95,0.42,384.24,3524.07
261,14-04-2023,Weekend Special,App,4915,900,3667.09,10,7,3791.95,0.01,523.87,9303.79
262,15-04-2023,App Push Notification,Social Media,4696,413,4479.25,97,8,9127.39,0.23,559.91,8137.79
263,15-04-2023,Category Promotion,Email,1630,255,1894.59,76,8,9127.39,0.3,236.82,9935.59
