order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,dwh_create_date
4217659083,31846190,18-01-2024,48:33.0,01:33.0,Slightly Delayed,3390.39,Wallet,94726,8940,05:42.9
9710865146,21282544,11-05-2023,49:09.0,54:09.0,On Time,4682.76,UPI,9882,9944,05:42.9
5375295409,17843667,05-10-2024,17:07.0,19:07.0,On Time,1153.83,Wallet,21882,8351,05:42.9
6286044248,38902193,05-05-2023,37:54.0,34:54.0,On Time,4369.99,Cash,56074,2602,05:42.9
1708282193,79895967,25-01-2024,19:18.0,22:18.0,On Time,83.18,UPI,34773,331,05:42.9
5746303677,20148223,08-06-2024,48:21.0,47:21.0,On Time,902.25,Card,24730,7478,05:42.9
3271726381,44050697,15-03-2024,52:28.0,11:28.0,Significantly Delayed,671.55,Card,5783,1567,05:42.9
9802569856,33741801,07-04-2024,25:19.0,22:19.0,On Time,2623.91,Wallet,93443,7185,05:42.9
662460037,98144693,11-10-2024,08:10.0,19:10.0,Slightly Delayed,2657.2,UPI,2466,1908,05:42.9
8664447334,25829710,08-03-2024,49:20.0,18:20.0,Significantly Delayed,3712.65,Cash,49008,3632,05:42.9
3886370975,96903782,08-05-2024,49:11.0,53:11.0,On Time,3039.42,Wallet,38359,6148,05:42.9
3547006553,56572297,29-05-2024,21:17.0,40:17.0,Significantly Delayed,5183.38,Card,31328,8506,05:42.9
2575965518,38496400,25-10-2024,41:21.0,36:21.0,On Time,1880.57,Wallet,33262,5322,05:42.9
1529363954,13251137,27-03-2024,35:11.0,38:11.0,On Time,924.41,UPI,55211,8668,05:42.9
8463856241,87463923,10-04-2023,20:09.0,27:09.0,Slightly Delayed,1364.14,Wallet,18824,4495,05:42.9
2485242479,25526479,11-04-2023,35:55.0,34:55.0,On Time,3732.99,Cash,76138,7194,05:42.9
9850673433,93826036,06-05-2023,56:40.0,03:40.0,Slightly Delayed,5271.36,UPI,19635,3606,05:42.9
2558680592,68475914,31-05-2023,36:27.0,36:27.0,On Time,2032.56,UPI,91792,7912,05:42.9
2859167116,40626729,15-10-2024,55:27.0,10:27.0,Slightly Delayed,1613.11,UPI,34127,3227,05:42.9
1222236371,88517890,15-08-2024,13:13.0,24:13.0,Slightly Delayed,2675.63,Card,94531,6823,05:42.9
344177904,44589829,18-08-2023,49:42.0,58:42.0,Slightly Delayed,551.88,Cash,86602,7870,05:42.9
6126334783,6150721,03-07-2024,44:55.0,49:55.0,On Time,1588.66,Card,33084,9082,05:42.9
3742575364,42723554,08-05-2023,43:01.0,45:01.0,On Time,4939,Wallet,22416,1865,05:42.9
9272166174,53292177,27-07-2023,36:38.0,38:38.0,On Time,994.56,Wallet,31701,5220,05:42.9
9416522701,7551173,22-01-2024,22:25.0,22:25.0,On Time,3919.44,Wallet,14560,7971,05:42.9
7305871805,96629034,11-09-2024,39:55.0,38:55.0,On Time,2028.61,Card,57764,8729,05:42.9
80296810,21677923,05-06-2024,52:45.0,51:45.0,On Time,4283.33,Cash,15362,2319,05:42.9
2806868282,67952740,26-09-2024,30:34.0,27:34.0,On Time,949.73,Card,5821,2193,05:42.9
707033578,14839726,30-01-2024,48:25.0,49:25.0,On Time,951.43,UPI,33360,2909,05:42.9
9026783092,60385293,09-10-2023,44:24.0,59:24.0,Slightly Delayed,3080.01,Wallet,51457,1244,05:42.9
6229466619,81533356,05-06-2023,30:36.0,38:36.0,Slightly Delayed,2708.73,Wallet,63864,2520,05:42.9
408720270,37245065,26-06-2024,22:35.0,38:35.0,Significantly Delayed,2501.14,Cash,2311,4190,05:42.9
8870165072,80517784,03-11-2023,20:42.0,25:42.0,On Time,1871.85,Card,53009,5156,05:42.9
1979319490,5238055,14-01-2024,37:07.0,41:07.0,On Time,3631.19,Wallet,28727,4826,05:42.9
840761323,83262890,09-03-2024,30:43.0,34:43.0,On Time,3550.8,UPI,88697,7068,05:42.9
744721438,67092149,25-02-2024,03:11.0,15:11.0,Slightly Delayed,486.28,Card,47635,9708,05:42.9
7421707488,80315623,03-11-2023,02:39.0,58:39.0,On Time,1065.22,UPI,29051,76,05:42.9
1212718824,73393269,01-01-2024,13:45.0,08:45.0,On Time,1648.44,Cash,72361,48,05:42.9
9603256001,8791577,08-05-2023,06:46.0,18:46.0,Slightly Delayed,1064.76,Card,5981,1573,05:42.9
5626888972,24323106,13-04-2024,26:30.0,29:30.0,On Time,866.92,Card,53381,1849,05:42.9
2300753276,92306841,07-12-2023,30:20.0,39:20.0,Slightly Delayed,1745.73,Cash,88145,2387,05:42.9
869629562,31831843,05-05-2023,38:44.0,35:44.0,On Time,562.7,Wallet,80715,9816,05:42.9
3429137520,51048402,16-03-2024,42:52.0,39:52.0,On Time,2804.37,UPI,82673,9389,05:42.9
9957927297,35349582,07-06-2023,30:44.0,32:44.0,On Time,347.91,Cash,17981,6312,05:42.9
202466684,74840437,08-08-2023,16:23.0,11:23.0,On Time,2939.42,Wallet,51649,7242,05:42.9
8465721207,30192942,21-06-2024,15:00.0,10:00.0,On Time,4707.96,Cash,56612,7760,05:42.9
6194827199,41494867,20-12-2023,11:47.0,07:47.0,On Time,2702.57,Cash,674,3021,05:42.9
3942174431,84257716,17-02-2024,12:33.0,22:33.0,Slightly Delayed,758.75,Card,9886,3050,05:42.9
3189863462,6756256,17-06-2024,44:48.0,41:48.0,On Time,1472.61,Cash,54721,7123,05:42.9
5923573134,22800586,17-02-2024,16:29.0,21:29.0,On Time,877.98,Wallet,74712,5990,05:42.9
6659747528,43034188,28-09-2024,45:40.0,45:40.0,On Time,1028.61,Wallet,93772,3087,05:42.9
6037541687,86067293,10-12-2023,43:05.0,45:05.0,On Time,681.91,Wallet,39815,7649,05:42.9
2585438297,50632192,20-08-2023,11:45.0,16:45.0,On Time,743.73,Card,93144,2754,05:42.9
8065774615,35705377,12-12-2023,10:21.0,35:21.0,Significantly Delayed,1757.08,Wallet,66569,3477,05:42.9
1816814476,85198177,04-11-2024,02:21.0,05:21.0,On Time,4981.16,Cash,42751,6687,05:42.9
5278014717,31776996,15-04-2024,59:28.0,04:28.0,On Time,4687.37,Cash,87933,9403,05:42.9
4265447949,6150721,16-08-2024,36:34.0,01:34.0,Significantly Delayed,1763.44,Card,34338,6377,05:42.9
6752221435,64197854,10-02-2024,10:18.0,14:18.0,On Time,4214.63,UPI,71642,85,05:42.9
8943989258,36675827,10-12-2023,17:33.0,20:33.0,On Time,1983.74,Wallet,43725,22,05:42.9
4068367936,78678612,21-09-2024,09:08.0,08:08.0,On Time,4432.19,Wallet,95706,990,05:42.9
5735156904,78841932,01-04-2023,40:21.0,53:21.0,Slightly Delayed,3724.91,Card,89407,9020,05:42.9
2405929115,14940427,09-09-2024,19:24.0,42:24.0,Significantly Delayed,212.61,Card,83049,6354,05:42.9
7913167260,98307019,19-04-2023,10:00.0,39:00.0,Significantly Delayed,4575.56,Card,69504,850,05:42.9
1989751369,7333934,18-05-2023,10:49.0,22:49.0,Slightly Delayed,274.25,Card,1261,4155,05:42.9
7338050095,3292927,15-10-2024,19:28.0,17:28.0,On Time,2181.43,UPI,68204,4923,05:42.9
9950986048,69863493,09-09-2023,50:21.0,53:21.0,On Time,4860.59,UPI,46130,6518,05:42.9
5098703807,13760839,10-06-2024,13:34.0,11:34.0,On Time,3772.64,Card,46866,9137,05:42.9
6937485392,30285217,23-05-2023,57:56.0,05:56.0,Slightly Delayed,1509.64,Card,42361,8561,05:42.9
1266440097,88739922,01-01-2024,47:25.0,42:25.0,On Time,2345.34,Cash,43520,5630,05:42.9
7415490509,61015113,08-07-2023,15:31.0,14:31.0,On Time,1429.18,UPI,48639,6098,05:42.9
7284991749,65559853,10-12-2023,47:57.0,46:57.0,On Time,2817.03,Card,4135,8405,05:42.9
4645792703,24043135,04-12-2023,23:48.0,18:48.0,On Time,2627.96,UPI,36301,5858,05:42.9
3174938939,95736310,27-03-2023,25:38.0,25:38.0,On Time,3597.75,Wallet,50364,641,05:42.9
1752712049,56195475,31-08-2024,13:49.0,25:49.0,Slightly Delayed,2015.68,Cash,67307,5572,05:42.9
8187201830,82529927,30-04-2024,43:38.0,39:38.0,On Time,1843.61,UPI,55955,210,05:42.9
6900896329,65903057,01-02-2024,39:06.0,41:06.0,On Time,4864.14,Cash,97185,1027,05:42.9
3793977529,21425168,02-09-2023,22:26.0,22:26.0,On Time,2835.92,UPI,52853,4439,05:42.9
194459698,88553721,15-06-2023,59:24.0,58:24.0,On Time,2203.94,Card,66295,723,05:42.9
9330447952,37362180,30-03-2024,40:14.0,45:14.0,On Time,3410.21,UPI,8867,8967,05:42.9
2097372277,14693393,25-01-2024,00:48.0,56:48.0,On Time,3122.85,Card,42338,1450,05:42.9
7060954153,91130614,01-11-2023,12:47.0,07:47.0,On Time,2354.95,Cash,21872,8698,05:42.9
2921310646,40117357,08-07-2024,42:33.0,42:33.0,On Time,2915.52,Wallet,45581,4444,05:42.9
3983082555,51670882,05-06-2023,14:09.0,36:09.0,Significantly Delayed,530.85,Card,75005,560,05:42.9
4867298468,13492411,23-04-2024,51:05.0,55:05.0,On Time,2508.01,Card,88574,9158,05:42.9
3402631472,52032226,03-05-2024,43:40.0,43:40.0,On Time,2871.88,Card,82219,7402,05:42.9
1648146562,95364457,14-05-2023,26:30.0,23:30.0,On Time,2953.31,Cash,49114,5416,05:42.9
5907766010,12272282,07-10-2024,22:49.0,33:49.0,Slightly Delayed,3937.4,Wallet,85975,8107,05:42.9
9233577456,96853930,30-12-2023,14:41.0,13:41.0,On Time,2309.81,Card,29353,9625,05:42.9
4084808075,65815155,11-10-2024,56:30.0,54:30.0,On Time,2698.15,Card,65980,2397,05:42.9
7217049550,24137201,11-07-2024,45:17.0,09:17.0,Significantly Delayed,1886.59,UPI,56744,1839,05:42.9
1831943568,69863493,23-05-2024,34:24.0,39:24.0,On Time,3575.33,Cash,31014,7127,05:42.9
8707473624,22524981,20-12-2023,46:35.0,43:35.0,On Time,1333.69,Cash,54941,4264,05:42.9
7075868285,5226128,01-03-2024,16:05.0,20:05.0,On Time,1704.88,Wallet,69398,7272,05:42.9
5164162918,96903782,18-11-2023,16:10.0,15:10.0,On Time,1869.56,Wallet,69542,3808,05:42.9
2175298644,72132838,11-05-2024,30:19.0,28:19.0,On Time,1857.59,Wallet,37111,297,05:42.9
5882568464,49258916,13-04-2023,39:05.0,37:05.0,On Time,1706.73,Cash,93909,7978,05:42.9
7847708619,35402531,23-10-2023,17:21.0,18:21.0,On Time,3606.96,Cash,9898,2148,05:42.9
6366048116,78732957,05-08-2024,08:18.0,06:18.0,On Time,1072.64,Cash,82257,2890,05:42.9
4926287333,31233120,08-08-2023,59:21.0,00:21.0,On Time,2890.49,Cash,94821,9042,05:42.9
5532838325,6982488,24-07-2024,40:26.0,37:26.0,On Time,1133.25,Cash,57010,9152,05:42.9
2567996236,81584486,31-10-2023,21:08.0,20:08.0,On Time,2831.03,Cash,61790,1737,05:42.9
2655613624,46623192,26-06-2024,33:57.0,02:57.0,Significantly Delayed,2384.64,UPI,94896,3805,05:42.9
7706089549,44562310,08-10-2023,24:20.0,24:20.0,On Time,2062.54,Cash,35200,7600,05:42.9
8257370396,25221501,24-12-2023,26:46.0,42:46.0,Significantly Delayed,160.07,Card,11969,549,05:42.9
8623808984,37551429,13-04-2024,49:58.0,55:58.0,Slightly Delayed,1911.03,Card,79827,1590,05:42.9
7579506101,72366758,06-04-2023,28:48.0,25:48.0,On Time,978.84,UPI,80056,5076,05:42.9
8861024199,29902416,29-11-2023,03:08.0,59:08.0,On Time,1015.26,Cash,53729,2116,05:42.9
7666131311,84456355,01-05-2023,57:52.0,02:52.0,On Time,3643.76,UPI,35447,7703,05:42.9
103589925,65406127,17-05-2024,42:05.0,52:05.0,Slightly Delayed,3805.99,UPI,83678,8251,05:42.9
7346858138,16785724,22-11-2023,58:38.0,55:38.0,On Time,1530.63,UPI,83804,721,05:42.9
4963962664,80935110,28-09-2023,02:23.0,58:23.0,On Time,4132.1,Cash,10652,607,05:42.9
9069936094,90696847,23-06-2024,08:13.0,31:13.0,Significantly Delayed,2841.51,Cash,80189,4324,05:42.9
4665363191,73660582,13-10-2024,05:11.0,11:11.0,Slightly Delayed,2035.62,Wallet,15760,1059,05:42.9
888510905,27824078,27-06-2024,18:56.0,30:56.0,Slightly Delayed,1305.23,Cash,21909,9927,05:42.9
6876091286,49136375,05-10-2024,38:02.0,36:02.0,On Time,3152.71,UPI,77863,5642,05:42.9
2592923105,78806824,23-04-2023,14:24.0,37:24.0,Significantly Delayed,5123.14,Card,23178,9026,05:42.9
2468550508,59620534,21-08-2024,03:50.0,06:50.0,On Time,3712.25,UPI,24846,6945,05:42.9
5302956276,97111069,22-01-2024,52:17.0,52:17.0,On Time,1495.19,UPI,6274,1628,05:42.9
9409714182,59110513,25-05-2023,29:31.0,41:31.0,Slightly Delayed,2856.32,Card,4084,5236,05:42.9
1446221570,59216664,26-09-2024,13:18.0,12:18.0,On Time,1905.44,Wallet,213,4433,05:42.9
8250036360,88203688,21-06-2024,20:28.0,21:28.0,On Time,1940.19,Wallet,65016,3376,05:42.9
447464341,89669139,03-03-2024,06:39.0,13:39.0,Slightly Delayed,3113.07,Wallet,85334,7454,05:42.9
15642223,85020453,06-11-2023,24:23.0,27:23.0,On Time,1712.74,Cash,43306,864,05:42.9
3285378238,66943324,15-08-2024,41:32.0,56:32.0,Slightly Delayed,2599.64,Wallet,8991,3670,05:42.9
2356483296,49529811,25-07-2023,24:01.0,32:01.0,Slightly Delayed,2030.68,UPI,38401,7717,05:42.9
3382911339,23380116,12-12-2023,53:18.0,52:18.0,On Time,1666.57,Card,84662,1254,05:42.9
3690872026,1152215,09-07-2023,21:37.0,26:37.0,On Time,1203.31,Cash,56377,3233,05:42.9
6755367585,54057428,03-09-2024,00:34.0,57:34.0,On Time,2115.53,UPI,56444,7067,05:42.9
6835850079,68965787,13-08-2023,06:33.0,09:33.0,On Time,934.75,UPI,92568,7041,05:42.9
9345418784,58644651,22-02-2024,23:24.0,27:24.0,On Time,2469.41,Cash,24395,5549,05:42.9
7185243614,51994597,10-01-2024,20:39.0,22:39.0,On Time,1223.58,UPI,27663,8505,05:42.9
2319044818,82425179,06-04-2024,45:22.0,41:22.0,On Time,2861.37,Wallet,66486,9694,05:42.9
931834374,17392512,30-09-2024,11:20.0,11:20.0,On Time,361.89,Wallet,48992,7589,05:42.9
8485398781,40593638,20-04-2024,17:45.0,17:45.0,On Time,2156.87,Wallet,70167,405,05:42.9
9806464912,31981068,21-08-2024,19:48.0,33:48.0,Slightly Delayed,2405.76,Card,89278,5507,05:42.9
8214365128,42012717,10-07-2024,18:38.0,14:38.0,On Time,3595.22,Wallet,68269,1827,05:42.9
137089318,6637282,23-05-2024,53:38.0,48:38.0,On Time,2254.26,Wallet,32581,4547,05:42.9
7615602420,63402854,30-05-2024,32:58.0,37:58.0,On Time,922.64,Cash,91821,6203,05:42.9
3995348964,44828791,03-06-2024,34:56.0,38:56.0,On Time,1613.86,Cash,62259,9450,05:42.9
3816542830,81822935,18-08-2023,04:14.0,00:14.0,On Time,3294.67,UPI,38895,3724,05:42.9
9665004924,90184276,29-07-2023,48:25.0,47:25.0,On Time,3564.53,Wallet,98396,6205,05:42.9
1728547597,98444183,09-06-2024,04:29.0,23:29.0,Significantly Delayed,236.51,Card,80933,7174,05:42.9
5311190131,19482392,04-03-2024,01:19.0,02:19.0,On Time,1276.25,Card,30345,1153,05:42.9
9581592141,64562786,22-01-2024,30:37.0,30:37.0,On Time,4117.69,UPI,70962,2407,05:42.9
4848863693,63217390,12-09-2024,54:20.0,51:20.0,On Time,1634.92,UPI,56307,5132,05:42.9
6374883107,23126657,19-08-2023,20:07.0,41:07.0,Significantly Delayed,3039.25,UPI,32067,2497,05:42.9
3270131216,56604077,10-02-2024,14:10.0,28:10.0,Slightly Delayed,1403.1,UPI,44043,998,05:42.9
2643382562,54338574,24-07-2023,48:03.0,48:03.0,On Time,354.91,UPI,74374,6033,05:42.9
5212524996,45071436,10-12-2023,25:30.0,26:30.0,On Time,2573.93,Cash,13215,4142,05:42.9
9594095277,27604184,10-03-2024,56:08.0,54:08.0,On Time,3015.93,Card,61215,8280,05:42.9
8375863419,76971644,26-08-2024,29:17.0,44:17.0,Slightly Delayed,4914.12,Card,89921,9410,05:42.9
7523880783,21481338,13-10-2024,06:50.0,01:50.0,On Time,4262.19,Wallet,23850,4957,05:42.9
9670158103,63262519,11-03-2024,08:36.0,10:36.0,On Time,2159.25,UPI,18477,2714,05:42.9
4344108631,45804389,29-03-2023,27:06.0,37:06.0,Slightly Delayed,4399.58,Cash,39923,5074,05:42.9
2237858,48281892,02-04-2023,00:11.0,03:11.0,On Time,3835.26,Wallet,97945,1987,05:42.9
3217791988,92642745,10-08-2023,06:13.0,04:13.0,On Time,5996.96,Wallet,30480,2073,05:42.9
3355718103,91196901,10-09-2023,54:21.0,51:21.0,On Time,632.35,Card,84679,5757,05:42.9
9590518103,62323608,01-03-2024,32:57.0,33:57.0,On Time,40.7,UPI,39579,6056,05:42.9
6610120274,89910157,19-07-2024,30:09.0,31:09.0,On Time,3395.39,UPI,83714,4574,05:42.9
1180899898,16420489,17-04-2023,12:44.0,15:44.0,On Time,3034.51,Wallet,24863,4638,05:42.9
8758992688,11616535,22-06-2024,12:41.0,37:41.0,Significantly Delayed,405.71,Wallet,722,1537,05:42.9
6965716176,12851610,13-04-2023,32:14.0,34:14.0,On Time,4625.58,Card,48850,4557,05:42.9
5527742274,57956497,16-12-2023,32:27.0,27:27.0,On Time,2424.06,Card,98520,8667,05:42.9
826610039,29431960,17-08-2023,04:16.0,03:16.0,On Time,169.88,UPI,72915,5752,05:42.9
3303891913,84361534,15-01-2024,43:58.0,48:58.0,On Time,2044.44,Card,49372,5496,05:42.9
2489292878,59240916,01-10-2023,02:12.0,57:12.0,On Time,3382.35,Card,88759,4977,05:42.9
8589851630,5386246,28-05-2024,22:08.0,24:08.0,On Time,3160.29,Card,4917,7237,05:42.9
4598897781,77625089,12-07-2023,54:25.0,04:25.0,Slightly Delayed,3442.8,UPI,7752,1410,05:42.9
6932356214,58942207,04-04-2023,52:45.0,06:45.0,Slightly Delayed,4091.52,Wallet,27028,1053,05:42.9
3499004322,70363568,04-05-2023,23:47.0,22:47.0,On Time,2288.53,Wallet,21541,7809,05:42.9
7517620171,25128143,16-04-2023,26:53.0,21:53.0,On Time,1996.94,Cash,48840,1920,05:42.9
172987148,71607166,03-11-2024,56:53.0,21:53.0,Significantly Delayed,2924.71,Cash,66833,4430,05:42.9
8347207794,34853377,17-08-2024,18:06.0,21:06.0,On Time,2701.36,Card,88105,2484,05:42.9
9472355181,81462774,23-01-2024,52:09.0,55:09.0,On Time,972.69,UPI,69066,1310,05:42.9
1315064289,74735607,27-07-2024,16:12.0,39:12.0,Significantly Delayed,2357.23,UPI,62602,1009,05:42.9
9371869941,53076417,11-10-2023,13:41.0,13:41.0,On Time,1599.11,Card,6805,9,05:42.9
5184568404,93507573,27-03-2024,05:24.0,01:24.0,On Time,872.08,Cash,17462,8839,05:42.9
5891002534,41494517,29-09-2023,16:08.0,26:08.0,Slightly Delayed,475.04,Card,79352,9109,05:42.9
1479730711,90647204,02-09-2024,08:44.0,29:44.0,Significantly Delayed,589.61,Wallet,36251,3312,05:42.9
7651037338,31576845,21-11-2023,52:51.0,52:51.0,On Time,242.57,Cash,62537,125,05:42.9
8763754537,97873848,07-10-2024,47:23.0,44:23.0,On Time,1696.36,UPI,16963,9072,05:42.9
7683813608,99707100,06-06-2023,44:26.0,47:26.0,On Time,2544.29,Card,86476,4714,05:42.9
6722955128,8351747,19-03-2023,05:23.0,01:23.0,On Time,1028.49,Wallet,18697,2801,05:42.9
8259274680,60379302,11-04-2023,45:28.0,43:28.0,On Time,3427.94,Cash,17260,1097,05:42.9
4620484274,58111297,10-09-2024,05:36.0,18:36.0,Slightly Delayed,3550.23,Card,25174,8879,05:42.9
8260569466,59323931,15-12-2023,16:23.0,12:23.0,On Time,698.04,Card,74085,8742,05:42.9
8498916204,47625855,22-03-2024,44:28.0,44:28.0,On Time,422.87,Card,89588,3248,05:42.9
3209538967,41874489,07-05-2024,35:34.0,39:34.0,On Time,2519.28,Cash,78212,192,05:42.9
2570640420,10418604,28-04-2023,44:24.0,48:24.0,On Time,3782.04,Cash,99899,9369,05:42.9
2066843639,69516494,25-05-2024,32:13.0,27:13.0,On Time,941.19,UPI,37046,9267,05:42.9
7402125753,12500465,01-11-2023,26:28.0,36:28.0,Slightly Delayed,3147.43,Cash,26429,4210,05:42.9
9171089443,46185579,10-09-2024,21:14.0,21:14.0,On Time,2747.64,Cash,27400,2275,05:42.9
3272079644,51592174,06-06-2023,43:34.0,46:34.0,On Time,22.14,Card,98992,4584,05:42.9
438111050,74174956,03-05-2024,56:13.0,54:13.0,On Time,2129.22,Card,24502,7723,05:42.9
7416160835,29324437,30-04-2023,20:04.0,17:04.0,On Time,2651.44,UPI,11914,6480,05:42.9
4075074492,12778027,13-12-2023,18:33.0,41:33.0,Significantly Delayed,5146.2,UPI,29293,3071,05:42.9
5536024334,15661674,30-04-2023,44:38.0,40:38.0,On Time,1149.2,Card,20631,9073,05:42.9
2013140214,39674723,14-05-2024,30:19.0,35:19.0,On Time,2400.93,Card,10693,1539,05:42.9
1113582397,53292177,17-12-2023,40:17.0,42:17.0,On Time,3248.52,Card,38869,7163,05:42.9
1083928258,14705462,21-12-2023,54:22.0,58:22.0,On Time,2833.25,Card,78940,768,05:42.9
4906957374,30029998,16-09-2023,06:47.0,03:47.0,On Time,3973.9,Card,2235,6872,05:42.9
1876614122,97678578,23-08-2023,38:54.0,35:54.0,On Time,4304.71,Cash,4985,595,05:42.9
6556180328,10562528,03-06-2024,57:59.0,56:59.0,On Time,712.12,UPI,83805,5137,05:42.9
7960553477,4356173,24-02-2024,40:38.0,35:38.0,On Time,169.88,UPI,75158,7328,05:42.9
6335972517,18256339,08-07-2023,14:51.0,26:51.0,Slightly Delayed,1968.49,UPI,51928,7147,05:42.9
6254948159,42615134,16-10-2023,34:34.0,34:34.0,On Time,3371.28,Card,72597,6278,05:42.9
7527936057,63971358,10-12-2023,18:53.0,20:53.0,On Time,2750.94,Cash,67699,8096,05:42.9
6257851675,65488134,23-04-2024,26:04.0,48:04.0,Significantly Delayed,1052.94,UPI,91732,9276,05:42.9
6832610950,77811864,01-09-2023,33:43.0,57:43.0,Significantly Delayed,1628.19,UPI,37323,7794,05:42.9
5085005195,2684440,05-03-2024,13:27.0,17:27.0,On Time,4030.23,Cash,92179,9543,05:42.9
2177207547,92245432,09-02-2024,01:35.0,59:35.0,On Time,3576.89,Wallet,63474,1529,05:42.9
3043364543,21597477,25-07-2023,58:58.0,00:58.0,On Time,1136.9,UPI,64723,8672,05:42.9
2823404098,81377917,03-03-2024,33:55.0,31:55.0,On Time,2699.14,Wallet,52689,1184,05:42.9
646676955,93018527,09-11-2023,55:42.0,51:42.0,On Time,109.03,Cash,90187,5859,05:42.9
5756607486,27709218,22-10-2023,53:13.0,51:13.0,On Time,1910.09,Card,19872,648,05:42.9
9373691795,87463923,23-03-2024,31:54.0,35:54.0,On Time,2386.93,Cash,89555,5199,05:42.9
2611601543,61753272,23-07-2023,49:11.0,59:11.0,Slightly Delayed,1804.99,Wallet,21230,5439,05:42.9
1491360686,90649019,21-03-2023,00:01.0,11:01.0,Slightly Delayed,822.74,UPI,45751,7070,05:42.9
1824533423,2233446,21-05-2023,13:19.0,16:19.0,On Time,2890.53,Wallet,37442,7389,05:42.9
2913841018,46675763,26-11-2023,08:27.0,08:27.0,On Time,727.95,Card,45079,6719,05:42.9
3141803761,34787383,09-10-2023,35:40.0,54:40.0,Significantly Delayed,787.4,UPI,54528,2448,05:42.9
6184484468,40275138,14-10-2024,45:47.0,46:47.0,On Time,211.22,Cash,97219,2662,05:42.9
4599327740,77862447,25-08-2023,52:17.0,52:17.0,On Time,530.85,Cash,43635,6481,05:42.9
7479207574,64846124,03-04-2024,03:33.0,32:33.0,Significantly Delayed,918.45,Cash,23426,80,05:42.9
2996133401,83964902,14-04-2024,16:03.0,14:03.0,On Time,2010.29,UPI,8541,4244,05:42.9
5972410040,19179897,11-08-2024,38:14.0,41:14.0,On Time,1721.08,Wallet,62822,4388,05:42.9
4007593324,68703613,21-06-2024,23:44.0,27:44.0,On Time,3453.62,Wallet,36657,7513,05:42.9
3428454405,93018527,13-08-2023,57:01.0,56:01.0,On Time,3030.47,Cash,81368,3714,05:42.9
1160646195,5700842,24-04-2023,17:19.0,38:19.0,Significantly Delayed,419.13,Card,53869,2464,05:42.9
4376524554,72576730,16-03-2023,25:00.0,30:00.0,On Time,2512.22,Card,75544,7687,05:42.9
1519072771,70615775,01-08-2024,22:15.0,24:15.0,On Time,98.32,UPI,40607,5275,05:42.9
8203685394,40192266,23-02-2024,17:38.0,18:38.0,On Time,1013.58,Card,92523,6784,05:42.9
7906789850,32006907,08-10-2024,35:00.0,41:00.0,Slightly Delayed,2494.47,UPI,16598,1123,05:42.9
8073770046,87943214,14-05-2024,12:34.0,25:34.0,Slightly Delayed,3056.86,UPI,37431,6209,05:42.9
5190202949,40727086,09-09-2023,49:28.0,01:28.0,Slightly Delayed,3924.07,Wallet,98623,3906,05:42.9
