order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed,dwh_create_date
3162249401,47552,31:58.0,31:58.0,0,1.72,On Time,Not Applicable,05:43.1
3108986741,60867,43:19.0,44:19.0,1,2.09,Slightly Delayed,Traffic,05:43.1
1851474741,12879,42:17.0,51:17.0,9,4.09,Slightly Delayed,Traffic,05:43.1
2425099132,44245,30:08.0,34:08.0,4,1.07,Slightly Delayed,Traffic,05:43.1
6706793332,76503,04:33.0,16:33.0,12,2.99,Significantly Delayed,Traffic,05:43.1
2149289255,25251,20:29.0,39:29.0,19,2.56,Significantly Delayed,Traffic,05:43.1
1971008155,30330,43:41.0,39:41.0,0,0.86,On Time,Not Applicable,05:43.1
2087093460,27478,42:57.0,41:57.0,0,0.77,On Time,Not Applicable,05:43.1
2116712588,34078,48:38.0,51:38.0,3,4.26,Slightly Delayed,Traffic,05:43.1
6054358790,52564,31:06.0,26:06.0,0,3.96,On Time,Not Applicable,05:43.1
532660797,97547,37:18.0,51:18.0,14,4.9,Significantly Delayed,Traffic,05:43.1
1491991005,85285,01:03.0,01:03.0,0,0.89,On Time,Not Applicable,05:43.1
4136019599,34667,52:14.0,55:14.0,3,4.58,Slightly Delayed,Traffic,05:43.1
2122832513,39396,58:14.0,18:14.0,20,3.97,Significantly Delayed,Traffic,05:43.1
3717703595,8041,52:02.0,51:02.0,0,2.48,On Time,Not Applicable,05:43.1
3194733693,16623,30:13.0,37:13.0,7,1.74,Slightly Delayed,Traffic,05:43.1
4471162437,54708,52:50.0,52:50.0,0,3.78,On Time,Not Applicable,05:43.1
1609331948,58721,19:21.0,19:21.0,0,1.56,On Time,Not Applicable,05:43.1
6920030794,38745,51:36.0,49:36.0,0,3.47,On Time,Not Applicable,05:43.1
5127172657,80034,30:31.0,50:31.0,20,4.41,Significantly Delayed,Traffic,05:43.1
8607115856,85718,52:34.0,49:34.0,0,2.33,On Time,Not Applicable,05:43.1
7154957395,63099,21:33.0,21:33.0,0,2.28,On Time,Not Applicable,05:43.1
2070762702,64950,37:55.0,52:55.0,15,3.61,Significantly Delayed,Traffic,05:43.1
3697242439,67408,47:13.0,46:13.0,0,4.71,On Time,Not Applicable,05:43.1
3063427913,24100,34:46.0,37:46.0,3,4.76,Slightly Delayed,Traffic,05:43.1
2060061337,50748,10:08.0,22:08.0,12,3.08,Significantly Delayed,Traffic,05:43.1
4625892678,40337,35:45.0,39:45.0,4,2.74,Slightly Delayed,Traffic,05:43.1
6045698170,16848,14:49.0,19:49.0,5,3.86,Slightly Delayed,Traffic,05:43.1
7876289647,28786,06:29.0,18:29.0,12,2.54,Significantly Delayed,Traffic,05:43.1
3434084714,58201,06:20.0,04:20.0,0,3.51,On Time,Not Applicable,05:43.1
9031695663,43200,35:06.0,41:06.0,6,3.71,Slightly Delayed,Traffic,05:43.1
1955989715,8135,06:23.0,08:23.0,2,4.81,Slightly Delayed,Traffic,05:43.1
3459500455,20504,52:55.0,54:55.0,2,2.66,Slightly Delayed,Traffic,05:43.1
5953376503,34929,08:54.0,24:54.0,16,0.56,Significantly Delayed,Traffic,05:43.1
121874867,69733,10:55.0,05:55.0,0,3.08,On Time,Not Applicable,05:43.1
2460545397,50527,38:03.0,49:03.0,11,2.53,Significantly Delayed,Traffic,05:43.1
9690050839,76868,44:24.0,49:24.0,5,3.82,Slightly Delayed,Traffic,05:43.1
2574349065,406,43:32.0,44:32.0,1,1.72,Slightly Delayed,Traffic,05:43.1
2461936988,77590,29:57.0,48:57.0,19,4.4,Significantly Delayed,Traffic,05:43.1
6447596416,45656,30:29.0,26:29.0,0,4.27,On Time,Not Applicable,05:43.1
7228452275,96211,25:33.0,25:33.0,0,4.62,On Time,Not Applicable,05:43.1
6696750742,89976,54:16.0,54:16.0,0,4.39,On Time,Not Applicable,05:43.1
822235931,1773,27:16.0,42:16.0,15,1.42,Significantly Delayed,Traffic,05:43.1
7678251499,60822,37:40.0,42:40.0,5,1.85,Slightly Delayed,Traffic,05:43.1
2497341976,42711,19:49.0,20:49.0,1,1.33,Slightly Delayed,Traffic,05:43.1
9107314128,21125,37:17.0,36:17.0,0,2.2,On Time,Not Applicable,05:43.1
9855726256,59743,05:53.0,03:53.0,0,0.96,On Time,Not Applicable,05:43.1
9398719862,4852,40:31.0,44:31.0,4,0.85,Slightly Delayed,Traffic,05:43.1
379494532,99227,42:33.0,44:33.0,2,3.39,Slightly Delayed,Traffic,05:43.1
1048784963,35552,35:38.0,30:38.0,0,2.18,On Time,Not Applicable,05:43.1
4386246924,56384,26:15.0,52:15.0,26,3.44,Significantly Delayed,Traffic,05:43.1
2050362692,16076,36:04.0,39:04.0,3,3.48,Slightly Delayed,Traffic,05:43.1
4142963293,74308,04:46.0,07:46.0,3,1.26,Slightly Delayed,Traffic,05:43.1
9753528654,63454,35:16.0,33:16.0,0,1.84,On Time,Not Applicable,05:43.1
8126970833,83636,41:40.0,07:40.0,26,1.13,Significantly Delayed,Traffic,05:43.1
9747814712,33342,52:05.0,55:05.0,3,1.23,Slightly Delayed,Traffic,05:43.1
6281619403,12086,15:42.0,10:42.0,0,4.51,On Time,Not Applicable,05:43.1
436184281,59936,55:18.0,22:18.0,27,0.74,Significantly Delayed,Traffic,05:43.1
9799231260,58378,17:56.0,21:56.0,4,0.9,Slightly Delayed,Traffic,05:43.1
4071811527,27993,51:48.0,00:48.0,9,2.39,Slightly Delayed,Traffic,05:43.1
5645359563,45180,45:23.0,40:23.0,0,4.78,On Time,Not Applicable,05:43.1
9411813703,32773,11:09.0,16:09.0,5,0.65,Slightly Delayed,Traffic,05:43.1
4270217473,4904,02:55.0,02:55.0,0,1.23,On Time,Not Applicable,05:43.1
279851011,73623,58:14.0,57:14.0,0,4.34,On Time,Not Applicable,05:43.1
6260524887,22883,00:44.0,56:44.0,0,3.76,On Time,Not Applicable,05:43.1
5853998391,23606,58:14.0,55:14.0,0,4.67,On Time,Not Applicable,05:43.1
9931976872,97297,32:20.0,28:20.0,0,3.03,On Time,Not Applicable,05:43.1
8432209832,18907,42:23.0,54:23.0,12,4.17,Significantly Delayed,Traffic,05:43.1
6023721507,72197,36:29.0,35:29.0,0,2.05,On Time,Not Applicable,05:43.1
3042338919,70995,05:39.0,02:39.0,0,1.33,On Time,Not Applicable,05:43.1
233646065,56968,43:29.0,48:29.0,5,4.89,Slightly Delayed,Traffic,05:43.1
9870610018,44706,36:21.0,35:21.0,0,0.86,On Time,Not Applicable,05:43.1
1398230967,92744,13:26.0,09:26.0,0,4.81,On Time,Not Applicable,05:43.1
8615488922,1328,21:14.0,42:14.0,21,3.94,Significantly Delayed,Traffic,05:43.1
2748841057,11008,19:21.0,43:21.0,24,0.84,Significantly Delayed,Traffic,05:43.1
1375867721,21511,08:54.0,05:54.0,0,4.45,On Time,Not Applicable,05:43.1
8595141097,19332,36:16.0,39:16.0,3,4.33,Slightly Delayed,Traffic,05:43.1
4673382071,97477,40:12.0,49:12.0,9,4.9,Slightly Delayed,Traffic,05:43.1
2948696008,89164,22:48.0,19:48.0,0,2.28,On Time,Not Applicable,05:43.1
6839692624,44627,10:50.0,35:50.0,25,1.17,Significantly Delayed,Traffic,05:43.1
5770951298,4946,23:57.0,21:57.0,0,0.95,On Time,Not Applicable,05:43.1
5084771819,66403,05:24.0,18:24.0,13,1.37,Significantly Delayed,Traffic,05:43.1
422403644,23782,46:14.0,54:14.0,8,0.56,Slightly Delayed,Traffic,05:43.1
7176758896,75492,00:53.0,01:53.0,1,2.94,Slightly Delayed,Traffic,05:43.1
8252905093,40596,29:31.0,30:31.0,1,3.25,Slightly Delayed,Traffic,05:43.1
1488561572,31495,32:40.0,31:40.0,0,2.51,On Time,Not Applicable,05:43.1
6212984517,15665,05:29.0,03:29.0,0,1.27,On Time,Not Applicable,05:43.1
6309784337,23009,53:10.0,53:10.0,0,4.05,On Time,Not Applicable,05:43.1
4613890018,82638,00:17.0,00:17.0,0,3.82,On Time,Not Applicable,05:43.1
3429728472,77476,48:30.0,57:30.0,9,1.25,Slightly Delayed,Traffic,05:43.1
267738904,73022,24:36.0,38:36.0,14,4.28,Significantly Delayed,Traffic,05:43.1
3850416839,32659,23:28.0,36:28.0,13,1.32,Significantly Delayed,Traffic,05:43.1
3412702479,35140,46:20.0,51:20.0,5,1.11,Slightly Delayed,Traffic,05:43.1
2016183232,38755,35:07.0,46:07.0,11,1.63,Significantly Delayed,Traffic,05:43.1
3810280204,70290,06:28.0,10:28.0,4,0.75,Slightly Delayed,Traffic,05:43.1
2416767295,28144,50:54.0,59:54.0,9,1.13,Slightly Delayed,Traffic,05:43.1
2283439407,58922,28:09.0,32:09.0,4,0.57,Slightly Delayed,Traffic,05:43.1
4328802292,66985,57:21.0,15:21.0,18,3.65,Significantly Delayed,Traffic,05:43.1
7072715691,82046,28:20.0,29:20.0,1,3.65,Slightly Delayed,Traffic,05:43.1
5640741373,20090,57:20.0,57:20.0,0,4.34,On Time,Not Applicable,05:43.1
6931094066,66225,18:17.0,14:17.0,0,3.82,On Time,Not Applicable,05:43.1
3417088709,63738,37:44.0,58:44.0,21,1.29,Significantly Delayed,Traffic,05:43.1
4424404315,8506,36:04.0,40:04.0,4,2.43,Slightly Delayed,Traffic,05:43.1
2444087306,75692,35:29.0,37:29.0,2,4.67,Slightly Delayed,Traffic,05:43.1
486085268,90390,51:16.0,56:16.0,5,0.53,Slightly Delayed,Traffic,05:43.1
1731312620,75316,42:00.0,41:00.0,0,2.13,On Time,Not Applicable,05:43.1
6475582506,52304,01:27.0,05:27.0,4,2.09,Slightly Delayed,Traffic,05:43.1
1868581378,38861,43:14.0,47:14.0,4,3.94,Slightly Delayed,Traffic,05:43.1
8884235937,81977,01:55.0,09:55.0,8,4.57,Slightly Delayed,Traffic,05:43.1
4590662628,18200,02:31.0,17:31.0,15,2.1,Significantly Delayed,Traffic,05:43.1
992302540,12863,51:11.0,54:11.0,3,3.48,Slightly Delayed,Traffic,05:43.1
7169974633,69861,22:22.0,21:22.0,0,2.57,On Time,Not Applicable,05:43.1
6703651257,4285,43:31.0,46:31.0,3,2.43,Slightly Delayed,Traffic,05:43.1
7180810221,59848,58:46.0,07:46.0,9,0.51,Slightly Delayed,Traffic,05:43.1
7875587578,40025,59:10.0,09:10.0,10,3.53,Slightly Delayed,Traffic,05:43.1
2578671497,64618,16:47.0,21:47.0,5,0.79,Slightly Delayed,Traffic,05:43.1
6284350691,9053,13:52.0,13:52.0,0,4.5,On Time,Not Applicable,05:43.1
5383261788,94840,34:10.0,30:10.0,0,2.11,On Time,Not Applicable,05:43.1
6590867973,23582,55:18.0,54:18.0,0,0.73,On Time,Not Applicable,05:43.1
8787105023,54795,09:29.0,12:29.0,3,3.68,Slightly Delayed,Traffic,05:43.1
1402916311,57649,05:28.0,09:28.0,4,2.72,Slightly Delayed,Traffic,05:43.1
9715205272,21783,09:22.0,11:22.0,2,4.93,Slightly Delayed,Traffic,05:43.1
3946852375,92389,45:55.0,45:55.0,0,4.04,On Time,Not Applicable,05:43.1
3367039425,72408,58:29.0,00:29.0,2,1.38,Slightly Delayed,Traffic,05:43.1
687711388,44884,28:42.0,40:42.0,12,1.67,Significantly Delayed,Traffic,05:43.1
647012431,94183,27:54.0,45:54.0,18,0.92,Significantly Delayed,Traffic,05:43.1
7143278295,89680,39:08.0,35:08.0,0,1.65,On Time,Not Applicable,05:43.1
9736844695,87624,18:46.0,13:46.0,0,1.4,On Time,Not Applicable,05:43.1
5933289680,1722,49:24.0,09:24.0,20,2.24,Significantly Delayed,Traffic,05:43.1
9494303116,12071,04:40.0,09:40.0,5,3.87,Slightly Delayed,Traffic,05:43.1
9337878102,15234,09:12.0,05:12.0,0,0.63,On Time,Not Applicable,05:43.1
6872621077,42244,29:29.0,24:29.0,0,3.42,On Time,Not Applicable,05:43.1
7330237253,18688,38:17.0,37:17.0,0,3.63,On Time,Not Applicable,05:43.1
7942616242,76694,27:45.0,52:45.0,25,4.96,Significantly Delayed,Traffic,05:43.1
238520071,91088,44:38.0,47:38.0,3,1.92,Slightly Delayed,Traffic,05:43.1
5812379362,68969,05:03.0,01:03.0,0,4.52,On Time,Not Applicable,05:43.1
2616623847,43649,22:25.0,37:25.0,15,4.33,Significantly Delayed,Traffic,05:43.1
2040854480,11814,22:16.0,47:16.0,25,2.48,Significantly Delayed,Traffic,05:43.1
5456484560,32681,10:49.0,35:49.0,25,3.76,Significantly Delayed,Traffic,05:43.1
883309006,23074,22:20.0,30:20.0,8,3.46,Slightly Delayed,Traffic,05:43.1
6528341992,50910,43:43.0,54:43.0,11,2.7,Significantly Delayed,Traffic,05:43.1
3263203775,38308,37:48.0,36:48.0,0,3.36,On Time,Not Applicable,05:43.1
3660010934,17404,44:03.0,49:03.0,5,2.74,Slightly Delayed,Traffic,05:43.1
7944885043,16741,31:38.0,29:38.0,0,2.23,On Time,Not Applicable,05:43.1
2506369831,62473,22:30.0,35:30.0,13,4.07,Significantly Delayed,Traffic,05:43.1
697061213,80729,52:55.0,55:55.0,3,1.48,Slightly Delayed,Traffic,05:43.1
7079057004,16501,10:45.0,32:45.0,22,3.58,Significantly Delayed,Traffic,05:43.1
1556153632,45137,54:19.0,03:19.0,9,0.75,Slightly Delayed,Traffic,05:43.1
2161235338,96206,12:38.0,21:38.0,9,4.68,Slightly Delayed,Traffic,05:43.1
1247978468,30662,13:39.0,12:39.0,0,1.56,On Time,Not Applicable,05:43.1
5437627061,39894,15:33.0,16:33.0,1,4.76,Slightly Delayed,Traffic,05:43.1
9091960039,51540,04:55.0,04:55.0,0,2.76,On Time,Not Applicable,05:43.1
619198317,83654,16:35.0,11:35.0,0,4.77,On Time,Not Applicable,05:43.1
9833179291,97223,52:00.0,48:00.0,0,0.59,On Time,Not Applicable,05:43.1
4148760273,55805,55:57.0,58:57.0,3,4.35,Slightly Delayed,Traffic,05:43.1
7206041763,1128,35:37.0,37:37.0,2,2.69,Slightly Delayed,Traffic,05:43.1
690097648,92460,30:22.0,40:22.0,10,1.87,Slightly Delayed,Traffic,05:43.1
4197061567,48139,31:32.0,33:32.0,2,0.66,Slightly Delayed,Traffic,05:43.1
2009394836,71878,25:10.0,23:10.0,0,3.18,On Time,Not Applicable,05:43.1
277502363,18055,04:57.0,09:57.0,5,4.14,Slightly Delayed,Traffic,05:43.1
4356959622,94308,56:08.0,51:08.0,0,3.45,On Time,Not Applicable,05:43.1
174306009,35598,35:44.0,02:44.0,27,1.41,Significantly Delayed,Traffic,05:43.1
9582674091,16055,39:21.0,01:21.0,22,3.55,Significantly Delayed,Traffic,05:43.1
8675579025,13158,15:17.0,17:17.0,2,3.41,Slightly Delayed,Traffic,05:43.1
5195999941,12987,07:00.0,21:00.0,14,2.34,Significantly Delayed,Traffic,05:43.1
5210007923,94672,24:34.0,25:34.0,1,2.16,Slightly Delayed,Traffic,05:43.1
6595771960,72175,36:22.0,40:22.0,4,1.75,Slightly Delayed,Traffic,05:43.1
4247338382,85815,11:24.0,40:24.0,29,4.26,Significantly Delayed,Traffic,05:43.1
819143326,73801,34:29.0,39:29.0,5,4.37,Slightly Delayed,Traffic,05:43.1
3830844750,95930,07:31.0,04:31.0,0,4.35,On Time,Not Applicable,05:43.1
1687314172,86120,00:43.0,03:43.0,3,3.7,Slightly Delayed,Traffic,05:43.1
6756007265,48609,37:10.0,42:10.0,5,4.05,Slightly Delayed,Traffic,05:43.1
489762747,93825,52:39.0,18:39.0,26,3.26,Significantly Delayed,Traffic,05:43.1
7509195875,96839,11:46.0,14:46.0,3,4.89,Slightly Delayed,Traffic,05:43.1
2370917070,13883,11:42.0,16:42.0,5,2.92,Slightly Delayed,Traffic,05:43.1
2055388266,80608,41:41.0,49:41.0,8,1.43,Slightly Delayed,Traffic,05:43.1
8969304162,67811,03:50.0,02:50.0,0,1.66,On Time,Not Applicable,05:43.1
5412674107,15617,00:05.0,02:05.0,2,1.75,Slightly Delayed,Traffic,05:43.1
1536516619,44378,10:28.0,15:28.0,5,2.48,Slightly Delayed,Traffic,05:43.1
3858907413,29907,45:30.0,45:30.0,0,4.53,On Time,Not Applicable,05:43.1
4976389251,89142,13:35.0,08:35.0,0,1.42,On Time,Not Applicable,05:43.1
2218319201,957,12:02.0,11:02.0,0,3.58,On Time,Not Applicable,05:43.1
6729422433,99898,55:45.0,01:45.0,6,2.81,Slightly Delayed,Traffic,05:43.1
1354097448,10089,53:21.0,55:21.0,2,1.71,Slightly Delayed,Traffic,05:43.1
8952275304,95373,22:32.0,22:32.0,0,1.27,On Time,Not Applicable,05:43.1
436603801,64535,14:53.0,11:53.0,0,3.24,On Time,Not Applicable,05:43.1
5273875984,60888,45:44.0,59:44.0,14,0.98,Significantly Delayed,Traffic,05:43.1
9290203003,44829,31:55.0,36:55.0,5,1.9,Slightly Delayed,Traffic,05:43.1
6240982373,16774,27:48.0,24:48.0,0,0.97,On Time,Not Applicable,05:43.1
2718348206,66580,37:06.0,33:06.0,0,2.16,On Time,Not Applicable,05:43.1
4903544026,7486,45:41.0,50:41.0,5,4.24,Slightly Delayed,Traffic,05:43.1
2827266949,24708,10:52.0,18:52.0,8,0.86,Slightly Delayed,Traffic,05:43.1
4278423074,23667,02:47.0,05:47.0,3,1.71,Slightly Delayed,Traffic,05:43.1
645916247,98927,03:20.0,32:20.0,29,3.22,Significantly Delayed,Traffic,05:43.1
5816647866,84702,23:41.0,40:41.0,17,1.15,Significantly Delayed,Traffic,05:43.1
7282397914,26008,35:08.0,40:08.0,5,2.19,Slightly Delayed,Traffic,05:43.1
3260611473,28392,54:26.0,12:26.0,18,2.73,Significantly Delayed,Traffic,05:43.1
8638163868,29019,41:59.0,46:59.0,5,1.66,Slightly Delayed,Traffic,05:43.1
177850987,61247,25:48.0,22:48.0,0,2.9,On Time,Not Applicable,05:43.1
9653859166,72058,36:51.0,50:51.0,14,0.95,Significantly Delayed,Traffic,05:43.1
9991338690,50037,45:33.0,46:33.0,1,2.15,Slightly Delayed,Traffic,05:43.1
1714593246,11180,02:38.0,04:38.0,2,1.89,Slightly Delayed,Traffic,05:43.1
9742461226,16877,43:00.0,40:00.0,0,1.16,On Time,Not Applicable,05:43.1
3314393477,37197,49:56.0,52:56.0,3,4.51,Slightly Delayed,Traffic,05:43.1
4188317986,48031,56:55.0,06:55.0,10,2.74,Slightly Delayed,Traffic,05:43.1
1646665366,59753,01:20.0,13:20.0,12,3.22,Significantly Delayed,Traffic,05:43.1
9558804585,32740,09:19.0,15:19.0,6,1.81,Slightly Delayed,Traffic,05:43.1
9047652469,27774,28:47.0,23:47.0,0,3.21,On Time,Not Applicable,05:43.1
2893800377,54327,57:50.0,53:50.0,0,4.56,On Time,Not Applicable,05:43.1
6139157985,23927,51:26.0,13:26.0,22,1.17,Significantly Delayed,Traffic,05:43.1
6029394789,28593,23:14.0,32:14.0,9,2.43,Slightly Delayed,Traffic,05:43.1
5874940276,22218,45:42.0,40:42.0,0,1.62,On Time,Not Applicable,05:43.1
5205211911,38835,52:45.0,06:45.0,14,0.86,Significantly Delayed,Traffic,05:43.1
5314758068,68342,36:30.0,46:30.0,10,2.53,Slightly Delayed,Traffic,05:43.1
484869710,41598,05:42.0,08:42.0,3,4.8,Slightly Delayed,Traffic,05:43.1
9957728938,64839,43:11.0,59:11.0,16,4.11,Significantly Delayed,Traffic,05:43.1
3136056666,60976,40:15.0,52:15.0,12,2.35,Significantly Delayed,Traffic,05:43.1
4926104391,13060,02:01.0,16:01.0,14,3.91,Significantly Delayed,Traffic,05:43.1
1827844756,78517,43:25.0,46:25.0,3,1.67,Slightly Delayed,Traffic,05:43.1
7032037874,59618,17:38.0,17:38.0,0,2.75,On Time,Not Applicable,05:43.1
3779230503,52785,30:38.0,29:38.0,0,2.32,On Time,Not Applicable,05:43.1
3473012553,99684,48:26.0,14:26.0,26,3.48,Significantly Delayed,Traffic,05:43.1
7988504487,86506,42:09.0,41:09.0,0,1.73,On Time,Not Applicable,05:43.1
7193792738,91241,49:59.0,53:59.0,4,2.36,Slightly Delayed,Traffic,05:43.1
1533583386,40902,27:24.0,24:24.0,0,4.03,On Time,Not Applicable,05:43.1
7750989397,42583,20:22.0,24:22.0,4,2.23,Slightly Delayed,Traffic,05:43.1
4434816229,17469,10:00.0,05:00.0,0,4.05,On Time,Not Applicable,05:43.1
6896732047,29664,08:30.0,06:30.0,0,4.18,On Time,Not Applicable,05:43.1
4740837071,70,42:13.0,47:13.0,5,4.31,Slightly Delayed,Traffic,05:43.1
6649631729,9599,39:51.0,38:51.0,0,0.86,On Time,Not Applicable,05:43.1
5351526726,18337,08:51.0,04:51.0,0,2.79,On Time,Not Applicable,05:43.1
1506082041,80462,00:45.0,57:45.0,0,1.04,On Time,Not Applicable,05:43.1
1023260165,93967,23:29.0,23:29.0,0,3.36,On Time,Not Applicable,05:43.1
8257032403,71946,34:58.0,37:58.0,3,2.03,Slightly Delayed,Traffic,05:43.1
7216524192,79713,33:34.0,30:34.0,0,3.33,On Time,Not Applicable,05:43.1
8619795820,68794,30:19.0,51:19.0,21,4.22,Significantly Delayed,Traffic,05:43.1
6494708839,36208,18:43.0,19:43.0,1,4.68,Slightly Delayed,Traffic,05:43.1
9859249765,19900,10:42.0,07:42.0,0,4.49,On Time,Not Applicable,05:43.1
3528020011,32566,01:12.0,04:12.0,3,2.96,Slightly Delayed,Traffic,05:43.1
5937934264,41221,35:19.0,50:19.0,15,1.83,Significantly Delayed,Traffic,05:43.1
2976477423,2591,47:10.0,47:10.0,0,2.26,On Time,Not Applicable,05:43.1
1002438039,52508,44:02.0,43:02.0,0,1.4,On Time,Not Applicable,05:43.1
2571163022,59402,20:16.0,34:16.0,14,4.14,Significantly Delayed,Traffic,05:43.1
6850221497,43013,52:39.0,47:39.0,0,3.02,On Time,Not Applicable,05:43.1
4706569127,74560,51:32.0,56:32.0,5,4.56,Slightly Delayed,Traffic,05:43.1
8168261752,18998,30:39.0,53:39.0,23,2.24,Significantly Delayed,Traffic,05:43.1
5828325906,34564,59:56.0,57:56.0,0,4.29,On Time,Not Applicable,05:43.1
5012271549,31783,19:21.0,47:21.0,28,2.59,Significantly Delayed,Traffic,05:43.1
8110316958,29001,48:34.0,45:34.0,0,1.73,On Time,Not Applicable,05:43.1
3190808443,42099,00:54.0,56:54.0,0,0.54,On Time,Not Applicable,05:43.1
7175472728,95658,01:20.0,01:20.0,0,4.77,On Time,Not Applicable,05:43.1
6011117738,8264,01:31.0,04:31.0,3,1.47,Slightly Delayed,Traffic,05:43.1
5592928753,96131,59:57.0,10:57.0,11,3.13,Significantly Delayed,Traffic,05:43.1
